# Generated from glyphlist.txt available from
# http://partners.adobe.com/asn/developer/typeforum/unicodegn.html
#
A,41
AE,c6
AEacute,1fc
AEmacron,1e2
AEsmall,f7e6
Aacute,c1
Aacutesmall,f7e1
Abreve,102
Abreveacute,1eae
Abrevecyrillic,4d0
Abrevedotbelow,1eb6
Abrevegrave,1eb0
Abrevehookabove,1eb2
Abrevetilde,1eb4
Acaron,1cd
Acircle,24b6
Acircumflex,c2
Acircumflexacute,1ea4
Acircumflexdotbelow,1eac
Acircumflexgrave,1ea6
Acircumflexhookabove,1ea8
Acircumflexsmall,f7e2
Acircumflextilde,1eaa
Acute,f6c9
Acutesmall,f7b4
Acyrillic,410
Adblgrave,200
Adieresis,c4
Adieresiscyrillic,4d2
Adieresismacron,1de
Adieresissmall,f7e4
Adotbelow,1ea0
Adotmacron,1e0
Agrave,c0
Agravesmall,f7e0
Ahookabove,1ea2
Aiecyrillic,4d4
Ainvertedbreve,202
Alpha,391
Alphatonos,386
Amacron,100
Amonospace,ff21
Aogonek,104
Aring,c5
Aringacute,1fa
Aringbelow,1e00
Aringsmall,f7e5
Asmall,f761
Atilde,c3
Atildesmall,f7e3
Aybarmenian,531
B,42
Bcircle,24b7
Bdotaccent,1e02
Bdotbelow,1e04
Becyrillic,411
Benarmenian,532
Beta,392
Bhook,181
Blinebelow,1e06
Bmonospace,ff22
Brevesmall,f6f4
Bsmall,f762
Btopbar,182
C,43
Caarmenian,53e
Cacute,106
Caron,f6ca
Caronsmall,f6f5
Ccaron,10c
Ccedilla,c7
Ccedillaacute,1e08
Ccedillasmall,f7e7
Ccircle,24b8
Ccircumflex,108
Cdot,10a
Cdotaccent,10a
Cedillasmall,f7b8
Chaarmenian,549
Cheabkhasiancyrillic,4bc
Checyrillic,427
Chedescenderabkhasiancyrillic,4be
Chedescendercyrillic,4b6
Chedieresiscyrillic,4f4
Cheharmenian,543
Chekhakassiancyrillic,4cb
Cheverticalstrokecyrillic,4b8
Chi,3a7
Chook,187
Circumflexsmall,f6f6
Cmonospace,ff23
Coarmenian,551
Csmall,f763
D,44
DZ,1f1
DZcaron,1c4
Daarmenian,534
Dafrican,189
Dcaron,10e
Dcedilla,1e10
Dcircle,24b9
Dcircumflexbelow,1e12
Dcroat,110
Ddotaccent,1e0a
Ddotbelow,1e0c
Decyrillic,414
Deicoptic,3ee
Delta,2206
Deltagreek,394
Dhook,18a
Dieresis,f6cb
DieresisAcute,f6cc
DieresisGrave,f6cd
Dieresissmall,f7a8
Digammagreek,3dc
Djecyrillic,402
Dlinebelow,1e0e
Dmonospace,ff24
Dotaccentsmall,f6f7
Dslash,110
Dsmall,f764
Dtopbar,18b
Dz,1f2
Dzcaron,1c5
Dzeabkhasiancyrillic,4e0
Dzecyrillic,405
Dzhecyrillic,40f
E,45
Eacute,c9
Eacutesmall,f7e9
Ebreve,114
Ecaron,11a
Ecedillabreve,1e1c
Echarmenian,535
Ecircle,24ba
Ecircumflex,ca
Ecircumflexacute,1ebe
Ecircumflexbelow,1e18
Ecircumflexdotbelow,1ec6
Ecircumflexgrave,1ec0
Ecircumflexhookabove,1ec2
Ecircumflexsmall,f7ea
Ecircumflextilde,1ec4
Ecyrillic,404
Edblgrave,204
Edieresis,cb
Edieresissmall,f7eb
Edot,116
Edotaccent,116
Edotbelow,1eb8
Efcyrillic,424
Egrave,c8
Egravesmall,f7e8
Eharmenian,537
Ehookabove,1eba
Eightroman,2167
Einvertedbreve,206
Eiotifiedcyrillic,464
Elcyrillic,41b
Elevenroman,216a
Emacron,112
Emacronacute,1e16
Emacrongrave,1e14
Emcyrillic,41c
Emonospace,ff25
Encyrillic,41d
Endescendercyrillic,4a2
Eng,14a
Enghecyrillic,4a4
Enhookcyrillic,4c7
Eogonek,118
Eopen,190
Epsilon,395
Epsilontonos,388
Ercyrillic,420
Ereversed,18e
Ereversedcyrillic,42d
Escyrillic,421
Esdescendercyrillic,4aa
Esh,1a9
Esmall,f765
Eta,397
Etarmenian,538
Etatonos,389
Eth,d0
Ethsmall,f7f0
Etilde,1ebc
Etildebelow,1e1a
Euro,20ac
Ezh,1b7
Ezhcaron,1ee
Ezhreversed,1b8
F,46
Fcircle,24bb
